,technology,node,time_storage_level,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
148,Aluminium_storage,ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
149,Aluminium_storage,ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
150,Aluminium_storage,ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
151,Aluminium_storage,ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
152,Aluminium_storage,ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
153,Aluminium_storage,ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
154,Aluminium_storage,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
155,Aluminium_storage,USA,1,0.0,0.0,0.0,0.0,0.0,0.0
156,Aluminium_storage,USA,2,0.0,0.0,0.0,0.0,0.0,0.0
157,Aluminium_storage,USA,3,0.0,0.0,0.0,0.0,0.0,0.0
158,Aluminium_storage,USA,4,0.0,0.0,0.0,0.0,0.0,0.0
159,Aluminium_storage,USA,5,0.0,0.0,0.0,0.0,0.0,0.0
160,Aluminium_storage,USA,6,0.0,0.0,0.0,0.0,0.0,0.0
161,Aluminium_storage,USA,7,0.0,0.0,0.0,0.0,0.0,0.0
162,Aluminium_storage,USA,8,0.0,0.0,0.0,0.0,0.0,0.0
163,Aluminium_storage,USA,9,0.0,0.0,0.0,0.0,0.0,0.0
164,Aluminium_storage,USA,10,0.0,0.0,0.0,0.0,0.0,0.0
165,Aluminium_storage,USA,11,0.0,0.0,0.0,0.0,0.0,0.0
166,Aluminium_storage,USA,12,0.0,0.0,0.0,0.0,0.0,0.0
167,Aluminium_storage,USA,13,0.0,0.0,0.0,0.0,0.0,0.0
168,Bauxite_storage,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
169,Bauxite_storage,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
170,Bauxite_storage,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
171,Bauxite_storage,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
172,Bauxite_storage,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
173,Bauxite_storage,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
174,Bauxite_storage,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
175,Bauxite_storage,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
176,Bauxite_storage,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
177,Bauxite_storage,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
178,Bauxite_storage,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
179,Bauxite_storage,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
180,Bauxite_storage,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
181,Bauxite_storage,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
182,Bauxite_storage,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
183,Bauxite_storage,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
184,Bauxite_storage,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
185,Bauxite_storage,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
186,Bauxite_storage,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
187,Bauxite_storage,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
188,Bauxite_storage,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
189,Bauxite_storage,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
190,Bauxite_storage,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
191,Bauxite_storage,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
192,Bauxite_storage,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
193,Bauxite_storage,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
194,Bauxite_storage,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
195,Bauxite_storage,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
196,Bauxite_storage,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
