,technology,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
11523,HEX_transport,AUT-ROE,1,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11524,HEX_transport,AUT-ROE,2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11525,HEX_transport,AUT-ROE,3,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11526,HEX_transport,AUT-ROE,4,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11527,HEX_transport,AUT-ROE,5,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11528,HEX_transport,AUT-ROE,6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11529,HEX_transport,AUT-ROE,7,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11530,HEX_transport,AUT-ROE,8,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11531,HEX_transport,AUT-ROE,9,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11532,HEX_transport,AUT-ROE,10,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11533,HEX_transport,AUT-ROE,11,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11534,HEX_transport,AUT-ROE,12,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11535,HEX_transport,AUT-ROE,13,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11536,HEX_transport,AUT-ROW,0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11537,HEX_transport,AUT-ROW,1,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11538,HEX_transport,AUT-ROW,2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11539,HEX_transport,AUT-ROW,3,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11540,HEX_transport,AUT-ROW,4,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11541,HEX_transport,AUT-ROW,5,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11542,HEX_transport,AUT-ROW,6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11543,HEX_transport,AUT-ROW,7,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11544,HEX_transport,AUT-ROW,8,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11545,HEX_transport,AUT-ROW,9,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11546,HEX_transport,AUT-ROW,10,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11547,HEX_transport,AUT-ROW,11,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11548,HEX_transport,AUT-ROW,12,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11549,HEX_transport,AUT-ROW,13,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11550,HEX_transport,AUT-USA,0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11551,HEX_transport,AUT-USA,1,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11552,HEX_transport,AUT-USA,2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11553,HEX_transport,AUT-USA,3,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11554,HEX_transport,AUT-USA,4,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11555,HEX_transport,AUT-USA,5,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11556,HEX_transport,AUT-USA,6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11557,HEX_transport,AUT-USA,7,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11558,HEX_transport,AUT-USA,8,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11559,HEX_transport,AUT-USA,9,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11560,HEX_transport,AUT-USA,10,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11561,HEX_transport,AUT-USA,11,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11562,HEX_transport,AUT-USA,12,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
